"recall_party","response","name"
"dem","al gore","al gore"
"dem","b obama","barack obama"
"dem","b. obama","barack obama"
"dem","barach obama","barack obama"
"dem","barack obama","barack obama"
"dem","barak obama","barack obama"
"dem","barrack obama","barack obama"
"dem","barrack oboma","barack obama"
"dem","barrak obama","barack obama"
"dem","barrak oboma","barack obama"
"dem","biden","joe biden"
"dem","bill clinton","bill clinton"
"dem","brack obama","barack obama"
"dem","brarack obama","barack obama"
"dem","carter","jimmy carter"
"dem","clinton","bill clinton"
"dem","elizabeth warren","elizabeth warren"
"dem","gore","al gore"
"dem","harry reed","harry reid"
"dem","harry reid","harry reid"
"dem","hilary clinton","hillary clinton"
"dem","hiliary clinton","hillary clinton"
"dem","hillary clinton","hillary clinton"
"dem","hillary cliton","hillary clinton"
"dem","hillary cllinton","hillary clinton"
"dem","hilliary clinton","hillary clinton"
"dem","jfk","jfk"
"dem","jimmie carter","jimmy carter"
"dem","jimmy carter","jimmy carter"
"dem","joe biden","joe biden"
"dem","john f. kennedy","jfk"
"dem","john kennedy","jfk"
"dem","john kerry","john kerry"
"dem","joseph biden","joe biden"
"dem","kerry","john kerry"
"dem","max baucus","max baucus"
"dem","michelle obama","barack obama"
"dem","nacy pelosi","nancy pelosi"
"dem","nanci pelosi","nancy pelosi"
"dem","nancy pelosi","nancy pelosi"
"dem","obama","barack obama"
"dem","oboma","barack obama"
"dem","pelosi","nancy pelosi"
"dem","pelosi (sp)","nancy pelosi"
"dem","pres. carter","jimmy carter"
"dem","pres. obama","barack obama"
"dem","president barack obama","barack obama"
"dem","president barak obama","barack obama"
"dem","president barak oboma","barack obama"
"dem","president jimmy carter","jimmy carter"
"dem","president obama","barack obama"
"dem","reed","harry reid"
"dem","reid","harry reid"
"dem","rep. pelosi","nancy pelosi"
"dem","sen. reid","harry reid"
"dem","vice president biden","joe biden"
"dem","warren","elizabeth warren"
"rep","abe lincoln","lincoln"
"rep","abraham lincoln","lincoln"
"rep","bachman","michele bachmann"
"rep","boehner","john boehner"
"rep","boener","john boehner"
"rep","boenher","john boehner"
"rep","boenor","john boehner"
"rep","boherer","john boehner"
"rep","bohner","john boehner"
"rep","bush","george w bush"
"rep","bush 2","george w bush"
"rep","bush jr","george w bush"
"rep","bush jr.","george w bush"
"rep","bush junior","george w bush"
"rep","bush senior","george bush"
"rep","bush sr","george bush"
"rep","cantor","eric cantor"
"rep","cheney","dick cheney"
"rep","chis christie","chris christie"
"rep","chris christi","chris christie"
"rep","chris christie","chris christie"
"rep","chris christy","chris christie"
"rep","christi","chris christie"
"rep","christie","chris christie"
"rep","cruz","ted cruz"
"rep","dick cheney","dick cheney"
"rep","eric cantor","eric cantor"
"rep","g hw bush","george bush"
"rep","george bush","george w bush"
"rep","george bush ii","george w bush"
"rep","george bush jr","george w bush"
"rep","george bush jr.","george w bush"
"rep","george bush sr.","george bush"
"rep","george h. bush","george bush"
"rep","george h.w. bush","george bush"
"rep","george hw bush","george bush"
"rep","george w bush","george w bush"
"rep","george w. bush","george w bush"
"rep","gov christie","chris christie"
"rep","jeb bush","george w bush"
"rep","jim boehner","john boehner"
"rep","joe boenher","john boehner"
"rep","john baner","john boehner"
"rep","john banher","john boehner"
"rep","john banner","john boehner"
"rep","john boedner","john boehner"
"rep","john boehneir","john boehner"
"rep","john boehner","john boehner"
"rep","john boener","john boehner"
"rep","john boenher","john boehner"
"rep","john bohenor","john boehner"
"rep","john bohner","john boehner"
"rep","john mccain","john mccain"
"rep","johne boehner","john boehner"
"rep","jon huntsman","jon huntsman"
"rep","kevin mccarthy","kevin mccarthy"
"rep","lincoln","lincoln"
"rep","marco rubio","marco rubio"
"rep","mark rubio","marco rubio"
"rep","mccain","john mccain"
"rep","mcconnel","mitch mcconnell"
"rep","mcconnell","mitch mcconnell"
"rep","mich mcconnel","mitch mcconnell"
"rep","michele bachman","michele bachmann"
"rep","michele bachmann","michele bachmann"
"rep","michelle bachman","michele bachmann"
"rep","michelle bachmann","michele bachmann"
"rep","mit romni","mitt romney"
"rep","mitch mcconell","mitch mcconnell"
"rep","mitch mcconnel","mitch mcconnell"
"rep","mitch mcconnell","mitch mcconnell"
"rep","mitt romney","mitt romney"
"rep","newt gingrech","newt gingrich"
"rep","newt gingrich","newt gingrich"
"rep","nixon","nixon"
"rep","palin","sarah palin"
"rep","paul ryan","paul ryan"
"rep","president bush","george w bush"
"rep","president george bush (2nd one)","george w bush"
"rep","president george bush (jr)","george w bush"
"rep","president reagen","ronald reagan"
"rep","president ronald reagen","ronald reagan"
"rep","rand paul","rand paul"
"rep","reagan","ronald reagan"
"rep","reagon","ronald reagan"
"rep","regan","ronald reagan"
"rep","regon","ronald reagan"
"rep","representative boenhner","john boehner"
"rep","richard nixon","nixon"
"rep","rick perry","rick perry"
"rep","romney","mitt romney"
"rep","ronald reagan","ronald reagan"
"rep","ronald reagen","ronald reagan"
"rep","ronald regan","ronald reagan"
"rep","rubio","marco rubio"
"rep","sara palin","sarah palin"
"rep","sarah palin","sarah palin"
"rep","sen. mccain","john mccain"
"rep","ted cruz","ted cruz"
"rep","tricky dick nixon","nixon"
"rep","w. bush","george w bush"
